supplier_id,supplier_name,city,contact,email,rating
80,Jain-Chakrabarti,Anand,3260363872,thomasmital@nair.com,3
81,Mani LLC,Surat,3517888707,aarnav26@dhingra-reddy.net,3
82,Jayaraman-Golla,Vapi,4726844918,dhingrafalak@dugar.com,4
83,Nazareth-Nori,Anand,6669602525,ishanimore@rege-vyas.com,5
84,Savant Inc,Surat,5139151254,dugalkamya@thakkar.com,5
85,Dhar LLC,Surat,2505204115,abhimanyumukherjee@rastogi.net,4
86,"Wagle, Sarma and Manda",Vapi,1663130914,xalak47@sama-gola.com,5
87,"Mukherjee, Viswanathan and Dayal",Vapi,8308605961,ldua@palla.com,4
88,Bail Ltd,Vadodara,3999804224,anagi@saran-dua.org,4
89,"Uppal, Chaudry and Baral",Anand,2189840432,lekhagaba@sami.com,5
90,Kadakia-Raman,Surat,4741138076,diya40@taneja.com,5
91,Walia Group,Ahmedabad,3525932516,trivedivanya@chakraborty-rastogi.com,4
92,"Agate, Sane and Rajan",Vadodara,3972490341,wpatla@brar.com,4
93,Cherian PLC,Vapi,5975619777,vedhikamaharaj@edwin-basak.com,5
94,"Raman, Memon and Dhillon",Ahmedabad,6641257842,rajfarhan@naidu-boase.com,4
95,"Arya, Nagar and Sanghvi",Anand,2866290720,kapoorsamaksh@karnik-mann.com,5
96,"Om, Narayan and Khurana",Bharuch,0599639196,priya36@gopal-ramanathan.com,5
97,Goyal Group,Rajkot,2754338910,ridhi25@mitra.com,4
98,Keer-Nagar,Rajkot,8493252458,chanchalchakrabarti@naidu.com,3
99,"Nair, Pradhan and Rajagopalan",Rajkot,7911113911,doshizayyan@chauhan.com,4
100,Wable-Parsa,Vapi,9153162019,karannihal@buch.com,3
